DATE,BAMLH0A3HYC,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLC0A3CA,BAMLH0A2HYB,BAMLC0A2CAA,BAMLC0A1CAAA
1996-12-31,7.38,0.83,1.95,0.57,3.61,0.42,0.30
1997-01-01,.,.,.,.,.,.,.
1997-01-02,7.28,0.83,1.92,0.58,3.51,0.42,0.26
1997-01-03,7.37,0.83,1.94,0.57,3.54,0.43,0.31
1997-01-06,7.36,0.85,1.94,0.58,3.55,0.43,0.26
1997-01-07,7.36,0.84,1.93,0.58,3.56,0.43,0.28
1997-01-08,7.34,0.83,1.91,0.57,3.53,0.42,0.28
1997-01-09,7.47,0.85,1.96,0.59,3.58,0.45,0.33
1997-01-10,7.47,0.95,2.02,0.70,3.60,0.56,0.42
1997-01-13,7.40,0.83,1.90,0.58,3.48,0.43,0.30
1997-01-14,7.37,0.83,1.92,0.58,3.55,0.44,0.32
1997-01-15,7.30,0.83,1.91,0.58,3.53,0.43,0.32
1997-01-16,7.22,0.82,1.88,0.57,3.48,0.43,0.29
1997-01-17,7.24,0.82,1.88,0.57,3.50,0.43,0.28
1997-01-20,7.19,0.82,1.88,0.57,3.49,0.43,0.28
1997-01-21,7.23,0.83,1.90,0.58,3.51,0.43,0.32
1997-01-22,7.15,0.82,1.86,0.57,3.44,0.42,0.27
1997-01-23,7.16,0.82,1.84,0.57,3.41,0.42,0.29
1997-01-24,7.08,0.82,1.82,0.57,3.37,0.43,0.31
1997-01-27,7.00,0.82,1.79,0.57,3.32,0.42,0.31
1997-01-28,6.95,0.82,1.81,0.57,3.37,0.42,0.30
1997-01-29,7.09,0.82,1.81,0.57,3.39,0.43,0.30
1997-01-30,7.14,0.82,1.82,0.57,3.43,0.43,0.29
1997-01-31,7.30,0.82,1.86,0.57,3.52,0.43,0.32
1997-02-03,7.30,0.82,1.87,0.57,3.58,0.44,0.33
1997-02-04,7.27,0.82,1.88,0.57,3.59,0.44,0.33
1997-02-05,7.22,0.82,1.85,0.57,3.54,0.43,0.33
1997-02-06,7.19,0.82,1.84,0.57,3.53,0.43,0.32
1997-02-07,7.20,0.82,1.86,0.58,3.58,0.44,0.33
1997-02-10,7.12,0.81,1.84,0.56,3.55,0.43,0.32
1997-02-11,7.11,0.81,1.84,0.56,3.53,0.43,0.33
1997-02-12,7.07,0.82,1.83,0.57,3.50,0.43,0.33
1997-02-13,7.13,0.81,1.84,0.56,3.56,0.43,0.32
1997-02-14,7.13,0.81,1.84,0.56,3.57,0.42,0.29
1997-02-17,.,.,.,.,.,.,.
1997-02-18,7.07,0.81,1.82,0.56,3.51,0.42,0.29
1997-02-19,7.03,0.81,1.80,0.56,3.48,0.43,0.31
1997-02-20,6.89,0.81,1.76,0.56,3.36,0.43,0.32
1997-02-21,6.92,0.81,1.77,0.56,3.34,0.43,0.32
1997-02-24,6.86,0.80,1.75,0.56,3.29,0.43,0.32
1997-02-25,6.71,0.80,1.73,0.56,3.27,0.43,0.32
1997-02-26,6.53,0.80,1.66,0.56,3.11,0.44,0.32
1997-02-27,6.49,0.79,1.66,0.55,3.11,0.43,0.32
1997-02-28,6.46,0.79,1.68,0.55,3.08,0.42,0.32
1997-03-03,6.49,0.77,1.66,0.53,3.05,0.40,0.31
1997-03-04,6.28,0.77,1.64,0.53,3.02,0.40,0.30
1997-03-05,6.44,0.76,1.65,0.53,3.07,0.40,0.30
1997-03-06,6.42,0.77,1.65,0.53,3.06,0.40,0.30
1997-03-07,6.48,0.77,1.67,0.53,3.10,0.40,0.31
1997-03-10,6.50,0.76,1.66,0.53,3.11,0.40,0.30
1997-03-11,6.50,0.76,1.65,0.53,3.09,0.40,0.31
1997-03-12,6.44,0.77,1.63,0.53,3.05,0.40,0.31
1997-03-13,6.36,0.77,1.59,0.54,2.96,0.41,0.32
1997-03-14,6.41,0.77,1.61,0.53,3.01,0.41,0.32
1997-03-17,6.35,0.77,1.61,0.54,3.02,0.41,0.32
1997-03-18,6.38,0.77,1.61,0.53,3.03,0.41,0.32
1997-03-19,6.29,0.76,1.60,0.53,3.05,0.40,0.32
1997-03-20,6.29,0.76,1.60,0.53,3.08,0.41,0.32
1997-03-21,6.30,0.76,1.60,0.53,3.09,0.41,0.32
1997-03-24,6.33,0.76,1.61,0.53,3.13,0.41,0.32
1997-03-25,6.31,0.76,1.61,0.53,3.09,0.41,0.33
1997-03-26,6.32,0.76,1.61,0.53,3.12,0.41,0.33
1997-03-27,6.26,0.75,1.58,0.53,3.07,0.40,0.32
1997-03-28,.,.,.,.,.,.,.
1997-03-31,6.50,0.76,1.66,0.54,3.31,0.41,0.32
1997-04-01,6.59,0.77,1.71,0.55,3.38,0.41,0.32
1997-04-02,6.65,0.77,1.72,0.55,3.43,0.41,0.32
1997-04-03,6.69,0.77,1.73,0.55,3.44,0.41,0.32
1997-04-04,6.61,0.77,1.72,0.55,3.41,0.41,0.32
1997-04-07,6.65,0.78,1.75,0.56,3.44,0.42,0.33
1997-04-08,6.62,0.78,1.73,0.56,3.40,0.42,0.32
1997-04-09,6.63,0.78,1.73,0.55,3.38,0.42,0.32
1997-04-10,6.68,0.78,1.72,0.55,3.38,0.42,0.32
1997-04-11,6.69,0.77,1.69,0.55,3.32,0.41,0.31
1997-04-14,6.65,0.78,1.70,0.55,3.34,0.42,0.32
1997-04-15,6.60,0.78,1.74,0.55,3.41,0.41,0.32
1997-04-16,6.51,0.77,1.72,0.55,3.38,0.41,0.32
1997-04-17,6.57,0.77,1.73,0.55,3.39,0.41,0.31
1997-04-18,6.55,0.77,1.73,0.55,3.38,0.41,0.31
1997-04-21,6.45,0.77,1.71,0.55,3.33,0.41,0.31
1997-04-22,6.45,0.79,1.74,0.57,3.34,0.45,0.34
1997-04-23,6.39,0.79,1.71,0.56,3.25,0.44,0.33
1997-04-24,6.34,0.79,1.68,0.56,3.19,0.44,0.32
1997-04-25,6.32,0.79,1.68,0.56,3.19,0.44,0.32
1997-04-28,6.47,0.79,1.69,0.57,3.23,0.44,0.32
1997-04-29,6.58,0.79,1.75,0.57,3.36,0.45,0.33
1997-04-30,6.79,0.79,1.75,0.56,3.47,0.42,0.32
1997-05-01,6.80,0.79,1.74,0.56,3.42,0.42,0.31
1997-05-02,6.80,0.79,1.73,0.56,3.41,0.42,0.32
1997-05-05,6.76,0.79,1.72,0.56,3.35,0.42,0.31
1997-05-06,6.75,0.79,1.71,0.56,3.30,0.42,0.31
1997-05-07,6.67,0.78,1.67,0.56,3.25,0.42,0.31
1997-05-08,6.66,0.78,1.69,0.56,3.25,0.42,0.31
1997-05-09,6.66,0.78,1.70,0.56,3.27,0.42,0.31
1997-05-12,6.64,0.78,1.69,0.56,3.30,0.42,0.31
1997-05-13,6.59,0.78,1.65,0.56,3.15,0.42,0.31
1997-05-14,6.56,0.76,1.62,0.54,3.12,0.41,0.29
1997-05-15,6.55,0.78,1.64,0.56,3.12,0.42,0.30
1997-05-16,6.50,0.77,1.62,0.56,3.09,0.42,0.30
1997-05-19,6.50,0.78,1.62,0.56,3.08,0.42,0.30
1997-05-20,6.51,0.78,1.63,0.57,3.11,0.43,0.31
1997-05-21,6.47,0.78,1.61,0.56,3.09,0.43,0.31
1997-05-22,6.40,0.77,1.59,0.56,3.04,0.42,0.31
1997-05-23,6.41,0.78,1.60,0.57,3.05,0.43,0.31
1997-05-26,.,.,.,.,.,.,.
1997-05-27,6.39,0.77,1.57,0.56,3.00,0.43,0.30
1997-05-28,6.66,0.77,1.57,0.56,2.98,0.43,0.30
1997-05-29,6.40,0.78,1.57,0.57,3.02,0.44,0.31
1997-05-30,6.44,0.79,1.61,0.57,3.05,0.44,0.32
1997-05-31,6.45,0.79,1.64,0.58,3.05,0.44,0.31
1997-06-02,6.45,0.78,1.62,0.57,3.04,0.43,0.30
1997-06-03,6.44,0.77,1.61,0.56,3.08,0.43,0.29
1997-06-04,6.36,0.77,1.59,0.56,3.05,0.43,0.29
1997-06-05,6.33,0.77,1.59,0.56,2.96,0.43,0.29
1997-06-06,6.32,0.78,1.64,0.56,3.10,0.43,0.29
1997-06-09,6.15,0.76,1.56,0.55,2.99,0.42,0.28
1997-06-10,6.10,0.76,1.54,0.55,2.94,0.42,0.28
1997-06-11,6.10,0.77,1.54,0.56,2.92,0.42,0.28
1997-06-12,6.21,0.76,1.56,0.55,2.99,0.42,0.28
1997-06-13,6.26,0.76,1.56,0.54,3.03,0.41,0.27
1997-06-16,6.19,0.76,1.53,0.54,3.03,0.41,0.27
1997-06-17,6.17,0.75,1.53,0.54,2.99,0.41,0.27
1997-06-18,6.23,0.75,1.55,0.54,3.04,0.40,0.27
1997-06-19,6.25,0.75,1.55,0.54,3.04,0.40,0.27
1997-06-20,6.30,0.75,1.58,0.54,3.06,0.41,0.27
1997-06-23,6.29,0.75,1.54,0.54,3.02,0.40,0.27
1997-06-24,6.31,0.75,1.54,0.54,3.01,0.40,0.27
1997-06-25,6.27,0.75,1.55,0.54,2.98,0.41,0.27
1997-06-26,6.35,0.75,1.56,0.54,3.00,0.41,0.27
1997-06-27,6.35,0.76,1.57,0.55,3.04,0.41,0.28
1997-06-30,6.64,0.76,1.52,0.55,3.09,0.41,0.28
1997-07-01,6.68,0.76,1.54,0.55,3.14,0.41,0.28
1997-07-02,6.71,0.76,1.53,0.55,3.16,0.41,0.28
1997-07-03,6.83,0.76,1.62,0.56,3.22,0.42,0.27
1997-07-04,.,.,.,.,.,.,.
1997-07-07,6.84,0.76,1.61,0.55,3.28,0.40,0.23
1997-07-08,6.78,0.75,1.60,0.55,3.27,0.40,0.23
1997-07-09,6.73,0.75,1.59,0.55,3.27,0.40,0.28
1997-07-10,6.72,0.75,1.58,0.55,3.25,0.40,0.28
1997-07-11,6.73,0.75,1.55,0.55,3.24,0.40,0.27
1997-07-14,6.68,0.74,1.49,0.54,3.20,0.39,0.27
1997-07-15,6.67,0.75,1.48,0.54,3.17,0.39,0.27
1997-07-16,6.70,0.75,1.48,0.54,3.20,0.39,0.27
1997-07-17,6.66,0.75,1.49,0.54,3.19,0.39,0.27
1997-07-18,6.64,0.74,1.48,0.54,3.14,0.39,0.27
1997-07-21,6.70,0.74,1.46,0.54,3.11,0.39,0.22
1997-07-22,6.80,0.75,1.49,0.55,3.22,0.40,0.27
1997-07-23,6.77,0.73,1.44,0.53,3.20,0.38,0.24
1997-07-24,6.75,0.74,1.45,0.54,3.19,0.39,0.26
1997-07-25,6.75,0.74,1.44,0.54,3.15,0.39,0.26
1997-07-28,6.78,0.74,1.45,0.54,3.17,0.39,0.24
1997-07-29,6.88,0.74,1.46,0.53,3.18,0.37,0.19
1997-07-30,6.91,0.73,1.49,0.53,3.21,0.37,0.27
1997-07-31,6.53,0.74,1.51,0.54,3.26,0.38,0.28
1997-08-01,6.35,0.74,1.41,0.54,3.07,0.39,0.25
1997-08-04,6.35,0.74,1.41,0.54,3.05,0.39,0.26
1997-08-05,6.34,0.74,1.41,0.54,3.04,0.39,0.26
1997-08-06,6.29,0.75,1.43,0.56,3.05,0.40,0.27
1997-08-07,6.21,0.73,1.41,0.54,3.00,0.38,0.25
1997-08-08,6.42,0.72,1.36,0.53,2.96,0.39,0.25
1997-08-11,6.44,0.72,1.36,0.54,2.97,0.39,0.25
1997-08-12,6.40,0.73,1.39,0.54,2.97,0.40,0.26
1997-08-13,6.43,0.73,1.39,0.55,3.01,0.40,0.26
1997-08-14,6.19,0.74,1.37,0.55,3.08,0.40,0.23
1997-08-15,6.17,0.73,1.41,0.55,3.08,0.40,0.27
1997-08-18,6.26,0.74,1.45,0.55,3.14,0.40,0.27
1997-08-19,6.26,0.74,1.45,0.55,3.12,0.40,0.27
1997-08-20,6.21,0.74,1.45,0.55,3.08,0.40,0.27
1997-08-21,6.15,0.73,1.43,0.55,3.03,0.40,0.24
1997-08-22,6.42,0.73,1.38,0.54,2.99,0.40,0.26
1997-08-25,6.38,0.74,1.37,0.55,2.96,0.41,0.26
1997-08-26,6.40,0.74,1.38,0.55,2.99,0.41,0.27
1997-08-27,6.39,0.74,1.37,0.55,2.99,0.41,0.27
1997-08-28,6.13,0.75,1.43,0.57,3.08,0.41,0.25
1997-08-29,6.09,0.74,1.41,0.56,3.03,0.40,0.25
1997-08-31,6.08,0.74,1.44,0.56,3.14,0.40,0.25
1997-09-01,.,.,.,.,.,.,.
1997-09-02,6.05,0.75,1.46,0.57,3.19,0.41,0.25
1997-09-03,6.29,0.75,1.44,0.56,3.14,0.41,0.25
1997-09-04,6.25,0.74,1.44,0.56,3.15,0.40,0.25
1997-09-05,6.23,0.75,1.44,0.57,3.14,0.41,0.27
1997-09-08,6.20,0.75,1.43,0.57,3.15,0.41,0.25
1997-09-09,6.16,0.75,1.44,0.57,3.14,0.41,0.26
1997-09-10,6.06,0.76,1.39,0.56,3.11,0.41,0.27
1997-09-11,6.05,0.75,1.40,0.57,3.11,0.41,0.28
1997-09-12,6.11,0.76,1.46,0.57,3.18,0.41,0.25
1997-09-15,6.09,0.75,1.46,0.57,3.17,0.41,0.24
1997-09-16,5.82,0.76,1.51,0.57,3.31,0.40,0.26
1997-09-17,5.77,0.75,1.47,0.57,3.27,0.39,0.24
1997-09-18,5.66,0.75,1.44,0.56,3.19,0.39,0.23
1997-09-19,5.66,0.75,1.43,0.56,3.20,0.38,0.22
1997-09-22,5.69,0.74,1.41,0.56,3.21,0.38,0.28
1997-09-23,5.65,0.75,1.43,0.56,3.17,0.38,0.23
1997-09-24,5.65,0.75,1.46,0.56,3.22,0.38,0.29
1997-09-25,5.56,0.74,1.42,0.56,3.13,0.38,0.25
1997-09-26,5.61,0.74,1.41,0.56,3.18,0.38,0.21
1997-09-29,5.58,0.74,1.42,0.56,3.15,0.38,0.23
1997-09-30,5.70,0.75,1.46,0.50,3.19,0.38,0.26
1997-10-01,5.72,0.75,1.47,0.50,3.24,0.38,0.29
1997-10-02,5.71,0.75,1.49,0.49,3.24,0.38,0.29
1997-10-03,5.68,0.74,1.48,0.48,3.21,0.37,0.29
1997-10-06,5.66,0.75,1.49,0.50,3.23,0.38,0.30
1997-10-07,5.64,0.75,1.49,0.49,3.22,0.38,0.30
1997-10-08,5.46,0.75,1.40,0.49,3.07,0.38,0.22
1997-10-09,5.47,0.74,1.42,0.50,3.09,0.36,0.23
1997-10-10,5.47,0.82,1.42,0.63,3.09,0.45,0.35
1997-10-13,5.47,0.82,1.48,0.63,3.09,0.45,0.35
1997-10-14,5.47,0.75,1.41,0.50,3.10,0.38,0.22
1997-10-15,5.36,0.75,1.40,0.50,3.05,0.37,0.25
1997-10-16,5.30,0.75,1.40,0.50,3.05,0.37,0.25
1997-10-17,5.24,0.75,1.39,0.51,2.99,0.38,0.28
1997-10-20,5.29,0.75,1.39,0.51,3.01,0.37,0.28
1997-10-21,5.32,0.75,1.39,0.51,3.01,0.37,0.27
1997-10-22,5.32,0.75,1.39,0.51,3.03,0.37,0.26
1997-10-23,5.43,0.74,1.45,0.55,3.13,0.38,0.29
1997-10-24,5.45,0.75,1.47,0.56,3.18,0.38,0.30
1997-10-27,5.95,0.79,1.61,0.58,3.52,0.40,0.32
1997-10-28,5.99,0.77,1.61,0.57,3.47,0.37,0.30
1997-10-29,5.98,0.77,1.61,0.57,3.51,0.38,0.31
1997-10-30,6.05,0.78,1.66,0.57,3.58,0.38,0.31
1997-10-31,7.01,0.84,1.68,0.66,3.60,0.46,0.35
1997-11-03,6.92,0.86,1.62,0.67,3.50,0.47,0.36
1997-11-04,6.51,0.85,1.60,0.67,3.42,0.47,0.36
1997-11-05,6.41,0.86,1.59,0.68,3.40,0.48,0.37
1997-11-06,6.44,0.88,1.61,0.69,3.42,0.48,0.38
1997-11-07,6.49,0.88,1.59,0.68,3.42,0.47,0.38
1997-11-10,6.41,0.88,1.61,0.68,3.37,0.47,0.38
1997-11-11,6.40,0.87,1.60,0.68,3.36,0.46,0.37
1997-11-12,6.46,0.88,1.61,0.68,3.40,0.47,0.39
1997-11-13,6.54,0.88,1.63,0.69,3.45,0.48,0.39
1997-11-14,6.59,0.88,1.65,0.69,3.45,0.49,0.39
1997-11-17,6.58,0.87,1.66,0.69,3.45,0.49,0.39
1997-11-18,6.56,0.87,1.66,0.70,3.45,0.50,0.40
1997-11-19,6.61,0.87,1.66,0.69,3.49,0.50,0.38
1997-11-20,6.58,0.88,1.65,0.70,3.47,0.50,0.39
1997-11-21,6.59,0.88,1.65,0.69,3.49,0.49,0.38
1997-11-24,6.60,0.88,1.62,0.70,3.46,0.50,0.40
1997-11-25,6.60,0.88,1.63,0.70,3.45,0.50,0.41
1997-11-26,6.55,0.89,1.60,0.70,3.44,0.50,0.40
1997-11-27,6.55,0.89,1.60,0.70,3.44,0.50,0.40
1997-11-28,6.59,0.89,1.60,0.70,3.42,0.51,0.41
1997-11-30,7.05,0.91,1.61,0.70,3.44,0.51,0.40
1997-12-01,7.05,0.91,1.63,0.70,3.44,0.51,0.40
1997-12-02,6.98,0.91,1.61,0.70,3.41,0.51,0.40
1997-12-03,6.96,0.90,1.63,0.70,3.41,0.51,0.41
1997-12-04,6.91,0.91,1.63,0.70,3.40,0.50,0.40
1997-12-05,6.89,0.91,1.58,0.70,3.32,0.50,0.40
1997-12-08,6.83,0.91,1.57,0.71,3.26,0.52,0.39
1997-12-09,6.87,0.91,1.58,0.71,3.27,0.52,0.40
1997-12-10,6.97,0.91,1.59,0.71,3.32,0.52,0.41
1997-12-11,7.03,0.91,1.63,0.71,3.39,0.52,0.40
1997-12-12,7.15,0.91,1.67,0.73,3.48,0.51,0.41
1997-12-15,7.03,0.90,1.63,0.77,3.41,0.50,0.40
1997-12-16,7.09,0.91,1.63,0.76,3.42,0.51,0.41
1997-12-17,7.07,0.90,1.63,0.76,3.38,0.51,0.40
1997-12-18,7.14,0.91,1.61,0.76,3.43,0.50,0.41
1997-12-19,7.22,0.89,1.64,0.74,3.46,0.48,0.39
1997-12-22,7.29,0.92,1.64,0.78,3.47,0.49,0.40
1997-12-23,7.32,0.92,1.65,0.80,3.48,0.50,0.41
1997-12-24,7.31,0.93,1.65,0.80,3.47,0.50,0.41
1997-12-25,.,.,.,.,.,.,.
1997-12-26,7.31,0.91,1.64,0.78,3.46,0.49,0.40
1997-12-29,7.31,0.92,1.63,0.78,3.45,0.50,0.40
1997-12-30,7.31,0.92,1.62,0.79,3.44,0.51,0.41
1997-12-31,7.31,0.93,1.68,0.66,3.47,0.51,0.42
1998-01-01,.,.,.,.,.,.,.
1998-01-02,7.40,0.94,1.71,0.67,3.56,0.51,0.43
1998-01-05,7.53,0.94,1.73,0.67,3.67,0.50,0.43
1998-01-06,7.54,0.94,1.74,0.68,3.69,0.52,0.43
1998-01-07,7.46,0.94,1.74,0.67,3.62,0.50,0.43
1998-01-08,7.47,0.93,1.78,0.67,3.66,0.51,0.43
1998-01-09,7.55,0.94,1.81,0.68,3.74,0.52,0.44
1998-01-12,7.54,0.95,1.82,0.68,3.74,0.52,0.43
1998-01-13,7.43,0.96,1.83,0.69,3.70,0.53,0.43
1998-01-14,7.33,0.95,1.81,0.68,3.64,0.52,0.43
1998-01-15,7.26,0.95,1.80,0.68,3.60,0.52,0.43
1998-01-16,7.12,0.95,1.78,0.68,3.51,0.52,0.43
1998-01-19,7.13,0.95,1.78,0.68,3.51,0.52,0.43
1998-01-20,6.99,0.96,1.77,0.68,3.48,0.51,0.43
1998-01-21,6.94,0.97,1.78,0.69,3.49,0.53,0.43
1998-01-22,6.94,0.97,1.78,0.69,3.48,0.52,0.44
1998-01-23,6.80,0.96,1.75,0.69,3.34,0.53,0.43
1998-01-26,6.84,0.97,1.77,0.70,3.38,0.53,0.43
1998-01-27,6.83,0.96,1.75,0.69,3.33,0.53,0.43
1998-01-28,6.78,0.98,1.74,0.70,3.33,0.54,0.45
1998-01-29,6.88,0.99,1.78,0.71,3.43,0.53,0.44
1998-01-30,7.05,1.03,1.78,0.72,3.45,0.55,0.44
1998-01-31,7.06,1.03,1.75,0.73,3.43,0.56,0.44
1998-02-02,6.98,1.02,1.74,0.73,3.36,0.56,0.45
1998-02-03,7.11,1.02,1.73,0.73,3.39,0.55,0.44
1998-02-04,7.11,1.02,1.74,0.73,3.38,0.56,0.45
1998-02-05,7.09,1.02,1.73,0.73,3.31,0.56,0.45
1998-02-06,7.06,1.02,1.73,0.73,3.30,0.56,0.45
1998-02-09,7.04,1.02,1.72,0.73,3.28,0.56,0.45
1998-02-10,7.06,1.02,1.72,0.73,3.30,0.56,0.45
1998-02-11,7.09,1.03,1.73,0.74,3.34,0.56,0.46
1998-02-12,7.08,1.01,1.71,0.73,3.35,0.56,0.44
1998-02-13,7.06,1.01,1.73,0.72,3.37,0.55,0.43
1998-02-16,7.02,1.01,1.72,0.71,3.36,0.55,0.43
1998-02-17,7.03,0.97,1.70,0.67,3.35,0.51,0.39
1998-02-18,6.98,1.01,1.72,0.71,3.34,0.55,0.43
1998-02-19,6.98,1.01,1.72,0.71,3.32,0.55,0.43
1998-02-20,6.95,1.01,1.70,0.71,3.31,0.55,0.43
1998-02-23,6.88,1.01,1.69,0.71,3.27,0.55,0.42
1998-02-24,6.82,1.01,1.67,0.71,3.19,0.55,0.43
1998-02-25,6.88,1.01,1.69,0.71,3.25,0.55,0.43
1998-02-26,6.84,1.01,1.68,0.71,3.22,0.55,0.43
1998-02-27,6.85,1.00,1.69,0.70,3.25,0.54,0.42
1998-02-28,6.78,1.01,1.74,0.70,3.27,0.55,0.43
1998-03-02,6.69,0.98,1.70,0.69,3.17,0.53,0.40
1998-03-03,6.68,0.98,1.70,0.69,3.15,0.53,0.40
1998-03-04,6.73,0.99,1.71,0.69,3.17,0.53,0.41
1998-03-05,6.77,0.99,1.71,0.69,3.18,0.53,0.42
1998-03-06,6.91,0.98,1.73,0.69,3.23,0.53,0.41
1998-03-09,6.97,0.98,1.74,0.68,3.27,0.53,0.40
1998-03-10,6.99,0.98,1.74,0.68,3.27,0.53,0.40
1998-03-11,6.95,0.99,1.75,0.69,3.28,0.53,0.41
1998-03-12,6.94,0.99,1.78,0.68,3.33,0.53,0.41
1998-03-13,6.91,0.98,1.77,0.68,3.31,0.52,0.40
1998-03-16,6.86,0.99,1.77,0.68,3.30,0.52,0.41
1998-03-17,6.81,0.98,1.75,0.68,3.28,0.52,0.41
1998-03-18,6.71,0.98,1.74,0.67,3.24,0.52,0.41
1998-03-19,6.67,0.99,1.74,0.68,3.23,0.52,0.41
1998-03-20,6.65,0.98,1.73,0.68,3.23,0.52,0.41
1998-03-23,6.61,0.98,1.73,0.68,3.22,0.52,0.40
1998-03-24,6.58,0.97,1.72,0.67,3.21,0.51,0.40
1998-03-25,6.47,0.98,1.72,0.68,3.14,0.52,0.41
1998-03-26,6.41,0.99,1.71,0.68,3.09,0.52,0.41
1998-03-27,6.36,0.98,1.69,0.68,3.08,0.52,0.41
1998-03-30,6.33,0.98,1.67,0.67,3.06,0.52,0.40
1998-03-31,6.87,0.98,1.71,0.66,3.17,0.50,0.40
1998-04-01,6.89,0.98,1.70,0.67,3.21,0.50,0.41
1998-04-02,6.94,0.98,1.74,0.67,3.25,0.50,0.41
1998-04-03,7.06,0.98,1.76,0.70,3.33,0.50,0.42
1998-04-06,6.98,0.98,1.74,0.69,3.27,0.50,0.41
1998-04-07,6.97,0.98,1.75,0.70,3.26,0.51,0.42
1998-04-08,6.92,0.98,1.74,0.66,3.22,0.50,0.41
1998-04-09,6.87,0.99,1.74,0.67,3.21,0.51,0.41
1998-04-10,.,.,.,.,.,.,.
1998-04-13,6.84,0.98,1.72,0.66,3.14,0.50,0.40
1998-04-14,6.86,0.99,1.73,0.66,3.19,0.50,0.40
1998-04-15,6.78,0.98,1.74,0.66,3.19,0.50,0.41
1998-04-16,6.81,0.98,1.74,0.66,3.23,0.50,0.40
1998-04-17,6.81,0.98,1.72,0.66,3.22,0.50,0.40
1998-04-20,6.78,0.98,1.70,0.69,3.18,0.50,0.41
1998-04-21,6.77,0.98,1.69,0.69,3.15,0.51,0.41
1998-04-22,6.76,0.98,1.69,0.69,3.15,0.51,0.42
1998-04-23,6.75,0.98,1.69,0.66,3.14,0.50,0.41
1998-04-24,6.77,0.98,1.69,0.67,3.16,0.51,0.41
1998-04-27,6.79,0.97,1.66,0.66,3.15,0.50,0.40
1998-04-28,6.78,0.98,1.66,0.66,3.13,0.51,0.40
1998-04-29,6.81,0.98,1.66,0.66,3.15,0.51,0.41
1998-04-30,7.12,0.98,1.80,0.66,3.26,0.50,0.41
1998-05-01,7.11,0.97,1.80,0.65,3.26,0.48,0.41
1998-05-04,7.09,0.97,1.78,0.65,3.23,0.48,0.41
1998-05-05,7.07,0.98,1.77,0.65,3.19,0.48,0.41
1998-05-06,7.14,0.97,1.79,0.65,3.25,0.48,0.43
1998-05-07,7.18,0.98,1.80,0.65,3.24,0.48,0.43
1998-05-08,7.13,0.98,1.78,0.66,3.22,0.48,0.43
1998-05-11,7.08,0.97,1.75,0.65,3.16,0.48,0.42
1998-05-12,7.23,0.98,1.79,0.66,3.26,0.49,0.43
1998-05-13,7.25,0.98,1.80,0.65,3.28,0.48,0.43
1998-05-14,7.27,0.97,1.78,0.65,3.25,0.48,0.42
1998-05-15,7.38,0.96,1.77,0.64,3.24,0.46,0.41
1998-05-18,7.42,0.97,1.80,0.65,3.31,0.47,0.41
1998-05-19,7.44,0.96,1.79,0.64,3.30,0.47,0.41
1998-05-20,7.47,0.97,1.81,0.65,3.34,0.47,0.42
1998-05-21,7.37,0.97,1.78,0.64,3.28,0.47,0.41
1998-05-22,7.37,0.97,1.79,0.65,3.30,0.47,0.42
1998-05-25,7.38,0.97,1.78,0.64,3.30,0.47,0.41
1998-05-26,7.42,0.96,1.80,0.64,3.34,0.46,0.40
1998-05-27,7.48,0.96,1.81,0.64,3.36,0.46,0.41
1998-05-28,7.47,0.97,1.79,0.64,3.35,0.46,0.40
1998-05-29,7.49,0.97,1.81,0.64,3.34,0.46,0.42
1998-05-31,7.68,0.97,1.86,0.64,3.43,0.46,0.44
1998-06-01,7.67,0.97,1.88,0.65,3.47,0.46,0.45
1998-06-02,7.61,0.98,1.87,0.65,3.43,0.47,0.45
1998-06-03,7.56,0.98,1.87,0.66,3.44,0.47,0.46
1998-06-04,7.58,0.99,1.85,0.66,3.41,0.47,0.45
1998-06-05,7.58,0.99,1.85,0.66,3.41,0.47,0.46
1998-06-08,7.57,0.99,1.85,0.66,3.41,0.47,0.46
1998-06-09,7.56,0.99,1.85,0.66,3.41,0.47,0.46
1998-06-10,7.63,0.99,1.87,0.66,3.48,0.48,0.46
1998-06-11,7.72,0.99,1.89,0.66,3.53,0.48,0.46
1998-06-12,7.77,0.99,1.90,0.66,3.55,0.48,0.46
1998-06-15,7.83,0.99,1.93,0.66,3.60,0.47,0.45
1998-06-16,7.85,1.00,1.90,0.66,3.60,0.48,0.45
1998-06-17,7.76,0.99,1.90,0.66,3.53,0.47,0.45
1998-06-18,7.80,0.99,1.90,0.65,3.56,0.48,0.44
1998-06-19,7.83,0.99,1.91,0.66,3.57,0.48,0.45
1998-06-22,7.86,0.99,1.91,0.66,3.60,0.47,0.44
1998-06-23,7.87,1.00,1.92,0.66,3.62,0.48,0.45
1998-06-24,7.86,1.00,1.91,0.66,3.58,0.48,0.45
1998-06-25,7.85,0.99,1.90,0.66,3.57,0.48,0.45
1998-06-26,7.88,1.00,1.90,0.66,3.57,0.48,0.46
1998-06-29,7.88,0.99,1.90,0.66,3.56,0.48,0.46
1998-06-30,8.02,1.02,1.99,0.68,3.64,0.49,0.46
1998-07-01,8.02,1.04,2.01,0.70,3.67,0.51,0.48
1998-07-02,8.02,1.04,2.03,0.70,3.68,0.51,0.48
1998-07-03,8.02,1.04,2.03,0.69,3.68,0.51,0.48
1998-07-06,8.03,1.04,2.04,0.69,3.69,0.50,0.47
