"","country","ISO2","actual","est","est_lower","est_upper","cd_actual","pd_actual","cd_est","pd_est","cd_est_95","pd_est_95","rating_delta","cd_delta","pd_delta","rating_delta_95","cd_delta_95","pd_delta_95"
"2","Australia","AU",20,15.5110083333333,14.0570829041561,16.9649337625106,0.528295218534761,0,0.875542682741232,2.99544038972579,1.00275155928596,2.91275779326169,-4.48899166666667,0.347247464206471,2.99544038972579,-5.94291709584393,0.474456340751199,2.91275779326169
"3","Austria","AT",19,16.5277652777778,15.4984271794362,17.5571033761193,0.640457129391164,1.00324021516269,0.811483275558209,2.97253607771,0.876419591766106,2.99459122591881,-2.47223472222222,0.171026146167044,1.96929586254731,-3.50157282056375,0.235962462374942,1.99135101075612
"4","Belgium","BE",18,14.3210041666667,13.0807172277275,15.5612911056059,0.720901920982245,2.2670672729256,0.97490911660556,2.91125802745648,1.13102807908667,3.09491695785698,-3.67899583333333,0.254007195623315,0.644190754530882,-4.91928277227255,0.410126158104429,0.82784968493138
"5","Brazil","BR",8.66666666666667,4.15592638888889,3.30589672459309,5.00595605318468,2.52551799534407,12.5522695799178,6.27078655943601,52.123422727671,7.34446789272797,64.6752162882471,-4.51074027777778,3.74526856409194,39.5711531477532,-5.36076994207357,4.8189498973839,52.1229467083294
"6","Bulgaria","BG",11,10.3698194444444,9.51654808637323,11.2230908025157,1.58708246480164,5.22159971540106,1.78915772948693,6.57437838856171,2.12081633696382,9.10429906830554,-0.630180555555556,0.202075264685285,1.35277867316065,-1.48345191362677,0.533733872162182,3.88269935290447
"7","Canada","CA",20,19.3222388888889,18.4316473646875,20.2128304130902,0.528295218534761,0,0.608460219369014,0.415057215494869,0.689159348230911,1.81732956970106,-0.67776111111111,0.0801650008342536,0.415057215494869,-1.56835263531246,0.16086412969615,1.81732956970106
"8","Chile","CL",16.3333333333333,7.72708055555556,6.76575952716053,8.68840158395058,0.823008518368437,2.99602256341964,3.06981298181285,17.6127780518842,3.74386979543195,24.3403274634719,-8.60625277777778,2.24680446344442,14.6167554884645,-9.5675738061728,2.92086127706351,21.3443049000523
"9","China","CN",16.3333333333333,7.18263611111111,6.32489013085394,8.04038209136828,0.823008518368437,2.99602256341964,3.43621623553094,21.2174878958825,4.09605652709507,28.0055379800645,-9.15069722222222,2.61320771716251,18.2214653324628,-10.0084432024794,3.27304800872664,25.0095154166449
"10","Croatia","HR",9.83333333333333,7.19618888888889,6.341827833548,8.05054994422978,1.98942265581657,8.06368173992337,3.4266161515325,21.1213625872158,4.08200225770118,27.8576071769532,-2.63714444444444,1.43719349571592,13.0576808472924,-3.49150549978533,2.09257960188461,19.7939254370298
"11","Czech Republic","CZ",17,12.6241,11.7168527235653,13.5313472764347,0.783809906904573,2.85987858509344,1.20729991921758,3.31815141425284,1.39647490698597,4.13388357387971,-4.3759,0.423490012313004,0.458272829159398,-5.28314727643465,0.612665000081393,1.27400498878627
"12","Denmark","DK",20,17.8090944444444,16.9241281559146,18.6940607329743,0.528295218534761,0,0.733831037869123,2.42500080062345,0.788267577104021,2.88397305547193,-2.19090555555556,0.205535819334363,2.42500080062345,-3.07587184408536,0.25997235856926,2.88397305547193
"13","Egypt","EG",5.5,4.27662083333333,3.4272807793253,5.12596088734137,4.83323901645505,35.9320499057748,6.12901091585729,50.491946243352,7.18291040443682,62.7661490959903,-1.22337916666667,1.29577189940225,14.5598963375772,-2.0727192206747,2.34967138798177,26.8340991902155
"14","Estonia","EE",17,15.9310708333333,15.0651776129734,16.7969640536932,0.783809906904573,2.85987858509344,0.847702855136255,3.01206060916201,0.908541461890658,2.95929951186591,-1.06892916666667,0.0638929482316822,0.152182024068566,-1.93482238702656,0.124731554986085,0.0994209267724671
"15","Finland","FI",19,18.8995791666667,18.0497410070026,19.7494173263307,0.640457129391164,1.00324021516269,0.649733129204552,1.16704970071589,0.717432237050888,2.22196605000627,-0.100420833333335,0.00927599981338789,0.163809485553202,-0.950258992997387,0.0769751076597242,1.21872583484358
"16","France","FR",18,10.9951069444444,9.86624527232198,12.1239686165669,0.720901920982245,2.2670672729256,1.58852186986166,5.23058929112656,1.97634492333351,7.96265494509626,-7.00489305555556,0.867619948879412,2.96352201820096,-8.13375472767802,1.25544300235127,5.69558767217066
"17","Germany","DE",20,17.2430055555556,16.3911400198082,18.0948710913029,0.528295218534761,0,0.769372038169928,2.76513498234738,0.819562572413553,2.99025037741981,-2.75699444444444,0.241076819635168,2.76513498234738,-3.60885998019184,0.291267353878792,2.99025037741981
"18","Greece","GR",6.16666666666667,6.6583,5.73958779609441,7.57701220390559,4.22940482476681,29.4155420809183,3.82712733231063,25.1986234548926,4.60827986177522,33.4807515883604,0.491633333333333,-0.402277492456183,-4.2169186260257,-0.427078870572254,0.37887503700841,4.06520950744211
"19","Hong Kong","HK",19.3333333333333,11.8057111111111,10.6578463200052,12.953575902217,0.607294212535003,0.393046882335341,1.37551581228734,4.02855582570557,1.69254485199152,5.90603906584281,-7.52762222222222,0.768221599752339,3.63550894337023,-8.67548701332816,1.08525063945652,5.51299218350747
"20","Hungary","HU",11.1666666666667,6.57868888888889,5.72117465022787,7.43620312754991,1.53921109029065,4.92867358019522,3.8898744989266,25.8489263546202,4.62524795540485,33.6647190713574,-4.58797777777778,2.35066340863595,20.920252774425,-5.4454920164388,3.0860368651142,28.7360454911622
"21","India","IN",11,4.72607083333333,3.87832970718829,5.57381195947838,1.58708246480164,5.22159971540106,5.6235448238519,44.7322590360567,6.60679405305766,56.0156290843991,-6.27392916666667,4.03646235905026,39.5106593206556,-7.12167029281171,5.01971158825602,50.7940293689981
"22","Indonesia","ID",11,5.24493888888889,4.39720151486271,6.09267626291507,1.58708246480164,5.22159971540106,5.0828067481617,38.6809970120417,5.9899446002936,48.8982188169416,-5.75506111111111,3.49572428336006,33.4593972966406,-6.60279848513729,4.40286213549196,43.6766191015405
